USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 226240  7612 ?        Ss   ago15   3:29 /sbin/init splash
root        60  0.0  0.0      0     0 ?        S    ago15   0:00 [kauditd]
root        61  0.0  0.0      0     0 ?        S    ago15   0:00 [khungtaskd]
root        62  0.0  0.0      0     0 ?        S    ago15   0:00 [oom_reaper]
root        63  0.0  0.0      0     0 ?        I<   ago15   0:00 [writeback]
root        64  0.0  0.0      0     0 ?        S    ago15   0:00 [kcompactd0]
root        65  0.0  0.0      0     0 ?        SN   ago15   0:00 [ksmd]
root        66  0.0  0.0      0     0 ?        SN   ago15   0:02 [khugepaged]
root       114  0.0  0.0      0     0 ?        I<   ago15   0:00 [kintegrityd]
root       115  0.0  0.0      0     0 ?        I<   ago15   0:00 [kblockd]
root       116  0.0  0.0      0     0 ?        I<   ago15   0:00 [blkcg_punt_bio]
root       119  0.0  0.0      0     0 ?        I<   ago15   0:00 [tpm_dev_wq]
root       120  0.0  0.0      0     0 ?        I<   ago15   0:00 [ata_sff]
root       121  0.0  0.0      0     0 ?        I<   ago15   0:00 [md]
root       122  0.0  0.0      0     0 ?        I<   ago15   0:00 [edac-poller]
root       123  0.0  0.0      0     0 ?        I<   ago15   0:00 [devfreq_wq]
root       124  0.0  0.0      0     0 ?        S    ago15   0:00 [watchdogd]
root       130  0.0  0.0      0     0 ?        S    ago15   0:29 [kswapd0]
root       131  0.0  0.0      0     0 ?        S    ago15   0:00 [ecryptfs-kthrea]
root       133  0.0  0.0      0     0 ?        I<   ago15   0:00 [kthrotld]
root       134  0.0  0.0      0     0 ?        S    ago15   0:00 [irq/122-pciehp]
root       135  0.0  0.0      0     0 ?        S    ago15   0:00 [irq/123-aerdrv]
root       136  0.0  0.0      0     0 ?        I<   ago15   0:00 [acpi_thermal_pm]
root       137  0.0  0.0      0     0 ?        I<   ago15   0:00 [vfio-irqfd-clea]
root       142  0.0  0.0      0     0 ?        I<   ago15   0:00 [ipv6_addrconf]
root       151  0.0  0.0      0     0 ?        I<   ago15   0:00 [kstrp]
root       169  0.0  0.0      0     0 ?        I<   ago15   0:00 [charger_manager]
root       231  0.0  0.0      0     0 ?        S    ago15   0:00 [scsi_eh_0]
root       232  0.0  0.0      0     0 ?        I<   ago15   0:00 [scsi_tmf_0]
root       233  0.0  0.0      0     0 ?        S    ago15   0:00 [scsi_eh_1]
root       234  0.0  0.0      0     0 ?        I<   ago15   0:00 [scsi_tmf_1]
root       235  0.0  0.0      0     0 ?        S    ago15   0:00 [scsi_eh_2]
root       236  0.0  0.0      0     0 ?        I<   ago15   0:00 [scsi_tmf_2]
root       242  0.0  0.0      0     0 ?        I<   ago15   0:05 [kworker/1:1H-ev]
root       247  0.0  0.0      0     0 ?        I<   ago15   0:17 [kworker/7:1H-ev]
root       344  0.0  0.0      0     0 ?        S    ago15   1:42 [jbd2/sda5-8]
root       345  0.0  0.0      0     0 ?        I<   ago15   0:00 [ext4-rsv-conver]
root       347  0.0  0.0      0     0 ?        I<   ago15   0:07 [kworker/4:1H-ev]
root       356  0.0  0.0      0     0 ?        I<   ago15   0:11 [kworker/3:1H-ev]
root       363  0.1  0.0      0     0 ?        I    18:58   0:03 [kworker/u16:4-i]
root       377  0.0  0.0      0     0 ?        I<   ago15   0:12 [kworker/2:1H-ev]
root       394  0.0  0.3 165964 26652 ?        S<s  ago15   0:11 /lib/systemd/systemd-journald
mariana    403  0.0  1.1 38350756 94168 tty2   Sl+  18:59   0:01 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3894979628506954757,1228716215932210681,131072 --lang=pt-BR --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=1310 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
root       417  0.0  0.0  49296  4240 ?        Ss   ago15   0:28 /lib/systemd/systemd-udevd
root       422  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop0]
root       423  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop1]
root       425  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop2]
root       426  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop3]
root       430  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop5]
root       432  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop6]
root       434  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop7]
root       436  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop8]
root       438  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop9]
root       440  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop10]
root       442  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop11]
mariana    443  0.5  1.5 38366988 124548 tty2  Sl+  18:59   0:09 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3894979628506954757,1228716215932210681,131072 --lang=pt-BR --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=1311 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
root       445  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop12]
root       446  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop13]
root       448  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop14]
root       450  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop15]
root       452  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop16]
root       454  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop17]
root       456  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop18]
root       458  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop19]
root       460  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop20]
root       462  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop21]
root       464  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop22]
root       467  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop23]
root       469  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop24]
root       471  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop25]
root       472  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop26]
root       474  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop27]
root       476  0.0  0.0      0     0 ?        S<   ago15   0:00 [loop28]
root       507  0.0  0.0      0     0 ?        I<   ago15   0:00 [asus_wireless_w]
root       510  0.0  0.0      0     0 ?        S    ago15   0:00 [irq/109-ELAN120]
root       535  0.0  0.0      0     0 ?        I<   ago15   0:00 [cfg80211]
root       543  0.0  0.0      0     0 ?        I<   ago15   0:00 [led_workqueue]
root       567  0.0  0.0      0     0 ?        I<   ago15   0:00 [cryptd]
root       591  0.1  0.0      0     0 ?        S    ago15  13:15 [irq/128-iwlwifi]
mariana    653  0.0  1.0 38341448 86428 tty2   Sl+  19:03   0:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3894979628506954757,1228716215932210681,131072 --lang=pt-BR --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=1314 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
root       655  0.0  0.0      0     0 ?        S    ago15   0:00 [spi0]
root       681  0.0  0.0      0     0 ?        I    19:03   0:00 [kworker/6:0-cgr]
mariana    682  0.0  1.1 38342472 90396 tty2   Sl+  19:03   0:01 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3894979628506954757,1228716215932210681,131072 --lang=pt-BR --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=1315 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
mariana    695 10.1  1.8 38408000 150104 tty2  Sl+  19:03   2:39 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3894979628506954757,1228716215932210681,131072 --lang=pt-BR --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=1316 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
systemd+   960  0.0  0.0 146132  1808 ?        Ssl  ago15   0:01 /lib/systemd/systemd-timesyncd
systemd+   961  0.0  0.0  71332  4544 ?        Ss   ago15   0:17 /lib/systemd/systemd-resolved
mariana    995  0.0  0.9 2493132 78232 pts/0   Sl+  ago17   2:19 /usr/lib/qt5/bin/designer
root      1046  0.6  0.0      0     0 ?        I    19:09   0:07 [kworker/5:0-eve]
root      1056  0.0  0.0      0     0 ?        I    19:09   0:00 [kworker/5:3-cgr]
root      1097  0.0  0.0      0     0 ?        I    19:10   0:00 [kworker/0:1-eve]
root      1101  0.0  0.0      0     0 ?        I    19:10   0:00 [kworker/1:4-eve]
root      1102  0.0  0.0      0     0 ?        I    19:10   0:00 [kworker/1:5-eve]
avahi     1166  0.0  0.0  47252  2764 ?        Ss   ago15   0:13 avahi-daemon: running [mariana-X510UAR.local]
root      1168  0.0  0.0  36480  4292 ?        Ss   ago15   0:00 /usr/lib/bluetooth/bluetoothd
message+  1173  0.0  0.0  51904  5064 ?        Ss   ago15   1:31 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
avahi     1227  0.0  0.0  47072   132 ?        S    ago15   0:00 avahi-daemon: chroot helper
root      1239  0.0  0.0  45724  6028 ?        Ss   ago15   0:04 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root      1241  0.0  0.1 563044 11780 ?        Ssl  ago15   3:16 /usr/sbin/NetworkManager --no-daemon
root      1249  0.0  0.0 110484  3308 ?        Ssl  ago15   0:46 /usr/sbin/irqbalance --foreground
root      1250  0.0  0.0 179872  5796 ?        Ssl  ago15   0:56 /usr/sbin/thermald --no-daemon --dbus-enable
root      1259  0.0  0.0   4548   748 ?        Ss   ago15   0:05 /usr/sbin/acpid
root      1266  0.0  0.0 288136  5620 ?        Ssl  ago15   0:12 /usr/lib/accountsservice/accounts-daemon
syslog    1271  0.0  0.0 263032  3288 ?        Ssl  ago15   0:02 /usr/sbin/rsyslogd -n
root      1296  0.0  0.2 2054688 17548 ?       Ssl  ago15   1:58 /usr/lib/snapd/snapd
root      1306  0.0  0.0 427308  6132 ?        Ssl  ago15   0:00 /usr/sbin/ModemManager
root      1311  0.0  0.0  70772  4348 ?        Ss   ago15   0:10 /lib/systemd/systemd-logind
root      1329  0.0  0.0  31324  2428 ?        Ss   ago15   0:01 /usr/sbin/cron -f
root      1336  0.0  0.0 504020  7984 ?        Ssl  ago15   0:41 /usr/lib/udisks2/udisksd
root      1425  0.0  0.0 170540  5760 ?        Ssl  ago15   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root      1655  0.0  0.1 296884  8716 ?        Ssl  ago15   0:03 /usr/lib/policykit-1/polkitd --no-debug
postgres  1829  0.0  0.0 320280  5436 ?        S    ago15   0:01 /usr/lib/postgresql/10/bin/postgres -D /var/lib/postgresql/10/main -c config_file=/etc/postgresql/10/main/postgresql.conf
root      1834  0.0  0.0 187244  6248 ?        Ssl  ago15   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root      1855  0.0  0.0 1499212 5016 ?        Ssl  ago15   1:55 /usr/bin/containerd
root      1884  0.0  0.1 873980 12264 ?        Ssl  ago15   0:48 /usr/bin/anydesk --service
root      1954  0.0  0.0 301336  5360 ?        Ssl  ago15   0:00 /usr/sbin/gdm3
root      1997  0.0  0.0 254828  5084 ?        Sl   ago15   0:00 gdm-session-worker [pam/gdm-launch-environment]
gdm       2035  0.0  0.0  77176  5140 ?        Ss   ago15   0:00 /lib/systemd/systemd --user
gdm       2036  0.0  0.0 114416   272 ?        S    ago15   0:00 (sd-pam)
root      2069  0.0  0.2 565884 22660 ?        Ssl  19:11   0:00 /usr/lib/fwupd/fwupd
root      2109  0.0  0.1 446380 13484 ?        Ss   ago15   0:27 /usr/sbin/apache2 -k start
gdm       2132  0.0  0.0 190948  4196 tty1     Ssl+ ago15   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm       2134  0.0  0.0  50264  3296 ?        Ss   ago15   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm       2136  0.0  0.0 552464  6824 tty1     Sl+  ago15   0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
postgres  2141  0.0  0.0 320388  1504 ?        Ss   ago15   0:00 postgres: 10/main: checkpointer process   
postgres  2142  0.0  0.0 320280  1712 ?        Ss   ago15   0:09 postgres: 10/main: writer process   
postgres  2143  0.0  0.0 320280  1732 ?        Ss   ago15   0:09 postgres: 10/main: wal writer process   
postgres  2144  0.0  0.0 320700  1208 ?        Ss   ago15   0:03 postgres: 10/main: autovacuum launcher process   
postgres  2146  0.0  0.0 175196   624 ?        Ss   ago15   0:02 postgres: 10/main: stats collector process   
postgres  2147  0.0  0.0 320696   296 ?        Ss   ago15   0:00 postgres: 10/main: bgworker: logical replication launcher   
root      2200  0.1  0.0      0     0 ?        I<   19:12   0:01 [kworker/u17:1-u]
root      2208  0.0  0.0      0     0 ?        I    19:12   0:00 [kworker/3:2-eve]
root      2219  0.0  0.0      0     0 ?        I    19:12   0:00 [kworker/3:3-cgr]
whoopsie  2292  0.0  0.1 464324  8268 ?        Ssl  ago15   0:02 /usr/bin/whoopsie -f
root      2294  0.0  0.1 1419844 10976 ?       Ssl  ago15   2:57 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops  2299  0.0  0.0  56940  1972 ?        Ss   ago15   0:15 /usr/sbin/kerneloops --test
kernoops  2314  0.0  0.0  56940  2196 ?        Ss   ago15   0:15 /usr/sbin/kerneloops
root      2332  0.2  0.0      0     0 ?        I    19:17   0:02 [kworker/u16:2-i]
gdm       2388  0.0  1.1 4020964 95720 tty1    Sl+  ago15   4:34 /usr/bin/gnome-shell
root      2466  0.1  0.0      0     0 ?        I<   19:23   0:00 [kworker/u17:2-r]
mariana   2543  0.0  0.6 38307180 53864 tty2   Sl+  19:25   0:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3894979628506954757,1228716215932210681,131072 --lang=pt-BR --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=1318 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
root      2575  0.0  0.0      0     0 ?        I    19:26   0:00 [kworker/4:1-mm_]
root      2581  0.0  0.0 315848  5900 ?        Ssl  ago15   0:14 /usr/lib/upower/upowerd
root      2612  0.0  0.0      0     0 ?        I    19:27   0:00 [kworker/5:1]
gdm       2644  0.0  0.0 923228  5560 tty1     Sl+  ago15   0:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
root      2683  0.0  0.0      0     0 ?        I    19:29   0:00 [kworker/u16:1-e]
mariana   2685  0.0  0.4 287052 38604 pts/2    Sl+  19:29   0:00 python3 geren-processos.py
mariana   2689  0.0  0.0   4624   776 pts/2    S+   19:29   0:00 sh -c ps -aux > listagem.txt
mariana   2690  0.0  0.0  39756  3780 pts/2    R+   19:29   0:00 ps -aux
root      2819  0.0  0.0  15312  1832 ?        Ss   ago17   0:00 /sbin/mount.ntfs /dev/sda3 /media/mariana/OS -o rw,nodev,nosuid,uid=1000,gid=1000,uhelper=udisks2
gdm       3425  0.0  0.0 349268  4448 ?        Ssl  ago15   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm       3430  0.0  0.0  49924  2764 ?        S    ago15   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm       3432  0.0  0.0 220764  5048 ?        Sl   ago15   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm       3436  0.0  0.0 1579988 6496 ?        Ssl  ago15   0:00 /usr/bin/pulseaudio --daemonize=no
rtkit     3437  0.0  0.0 183504  2572 ?        SNsl ago15   0:09 /usr/lib/rtkit/rtkit-daemon
root      3460  0.0  0.0   4504   676 ?        S    ago15   0:00 bpfilter_umh
root      3660  0.0  0.4 515800 38620 ?        Ssl  ago15   1:18 /usr/lib/packagekit/packagekitd
gdm       3812  0.0  0.0 354752  4640 tty1     Sl   ago15   0:00 ibus-daemon --xim --panel disable
gdm       3815  0.0  0.0 274132  4724 tty1     Sl   ago15   0:00 /usr/lib/ibus/ibus-dconf
gdm       3817  0.0  0.1 482956  8104 tty1     Sl   ago15   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm       3820  0.0  0.0 272076  4092 ?        Sl   ago15   0:00 /usr/lib/ibus/ibus-portal
root      3846  0.0  0.0 290228  5472 ?        Ssl  ago15   0:04 /usr/lib/x86_64-linux-gnu/boltd
gdm       3866  0.0  0.1 633548  9836 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm       3870  0.0  0.0 271596  4156 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm       3871  0.0  0.1 482628  8184 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm       3872  0.0  0.1 816752 14228 tty1     Sl+  ago15   4:49 /usr/lib/gnome-settings-daemon/gsd-color
gdm       3875  0.0  0.0 386900  6088 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm       3876  0.0  0.0 276928  4468 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm       3877  0.0  0.1 637036  9328 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm       3881  0.0  0.1 1212452 10576 tty1    Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm       3883  0.0  0.0 195184  3192 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm       3884  0.0  0.1 1004872 14016 tty1    Sl+  ago15   0:03 /usr/lib/gnome-settings-daemon/gsd-power
gdm       3887  0.0  0.0 260208  5184 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm       3888  0.0  0.0 195204  3172 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm       3889  0.0  0.0 268920  3184 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm       3890  0.0  0.0 298560  4852 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm       3897  0.0  0.0 371508  4348 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm       3899  0.0  0.0 328416  5248 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm       3905  0.0  0.1 567832 11420 tty1     Sl+  ago15   0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
gdm       3917  0.0  0.0 198276  4628 tty1     Sl   ago15   0:00 /usr/lib/ibus/ibus-engine-simple
colord    3960  0.0  0.1 318408  9940 ?        Ssl  ago15   0:00 /usr/lib/colord/colord
root      4294  0.0  0.0 408892  6916 ?        Sl   ago15   0:00 gdm-session-worker [pam/gdm-password]
mariana   4298  0.0  0.0  77344  5828 ?        Ss   ago15   0:01 /lib/systemd/systemd --user
mariana   4299  0.0  0.0 261880   820 ?        S    ago15   0:00 (sd-pam)
mariana   4312  0.0  0.0 429272  5492 ?        Sl   ago15   0:01 /usr/bin/gnome-keyring-daemon --daemonize --login
mariana   4316  0.0  0.0 205284  4888 tty2     Ssl+ ago15   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
mariana   4318  1.0  1.8 684848 146356 tty2    Sl+  ago15 100:16 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
mariana   4327  0.0  0.0  52436  5664 ?        Ss   ago15   0:14 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
mariana   4330  0.0  0.0 636056  7984 tty2     Sl+  ago15   0:09 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
mariana   4426  0.0  0.0  11304    36 ?        Ss   ago15   0:02 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
mariana   4429  0.0  0.0 349300  4448 ?        Ssl  ago15   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
mariana   4434  0.0  0.0  50052  3060 ?        S    ago15   0:03 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
mariana   4436  0.0  0.0 220788  4652 ?        Sl   ago15   0:23 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
mariana   4454  1.1  6.1 4396924 496948 tty2   Sl+  ago15 113:57 /usr/bin/gnome-shell
mariana   4461  0.0  0.0 285156  5260 ?        Ssl  ago15   0:00 /usr/lib/gvfs/gvfsd
mariana   4466  0.0  0.0 416112  4004 ?        Sl   ago15   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
mariana   4478  1.8  0.1 2383828 12340 ?       S<l  ago15 182:44 /usr/bin/pulseaudio --start --log-target=syslog
root      4496  0.0  0.0      0     0 ?        S<   ago15   0:00 [krfcommd]
mariana   4498  0.0  0.1 356104  8112 tty2     Sl   ago15   1:57 ibus-daemon --xim --panel disable
mariana   4502  0.0  0.0 274144  4796 tty2     Sl   ago15   0:00 /usr/lib/ibus/ibus-dconf
mariana   4504  0.0  0.1 337836 10456 tty2     Sl   ago15   0:10 /usr/lib/ibus/ibus-x11 --kill-daemon
mariana   4506  0.0  0.0 272208  5216 ?        Sl   ago15   0:01 /usr/lib/ibus/ibus-portal
mariana   4517  0.0  0.0 690196  6556 ?        Sl   ago15   0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
mariana   4536  0.0  0.0 188132  4788 ?        Sl   ago15   0:00 /usr/lib/dconf/dconf-service
mariana   4539  0.0  0.0 373888  6820 ?        Ssl  ago15   0:22 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
mariana   4545  0.0  0.0 1431336 7924 ?        Ssl  ago15   0:00 /usr/lib/evolution/evolution-source-registry
mariana   4547  0.0  0.0 281940  4892 ?        Ssl  ago15   0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
mariana   4554  0.0  0.0 372008  4724 ?        Ssl  ago15   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
mariana   4559  0.0  0.0 269020  4532 ?        Ssl  ago15   0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
mariana   4563  0.0  0.0 267224  4268 ?        Ssl  ago15   0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
mariana   4567  0.0  0.0 784284  6704 ?        Sl   ago15   0:00 /usr/lib/gnome-online-accounts/goa-daemon
mariana   4577  0.0  0.0 296892  4116 ?        Sl   ago15   0:02 /usr/lib/gnome-online-accounts/goa-identity-service
mariana   4582  0.0  0.2 867980 18172 tty2     Sl+  ago15   0:07 /usr/lib/gnome-settings-daemon/gsd-power
mariana   4584  0.0  0.0 342516  5412 tty2     Sl+  ago15   0:01 /usr/lib/gnome-settings-daemon/gsd-print-notifications
mariana   4586  0.0  0.0 416532  4372 tty2     Sl+  ago15   0:02 /usr/lib/gnome-settings-daemon/gsd-rfkill
mariana   4588  0.0  0.0 268920  4380 tty2     Sl+  ago15   0:01 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
mariana   4589  0.0  0.0 446692  7488 tty2     Sl+  ago15   1:05 /usr/lib/gnome-settings-daemon/gsd-sharing
